Latitude,Longitude,Time
39.960389,116.349996,2025-06-28 02:38:48.006000+00:00
39.9603838,116.34995085,2025-06-28 02:47:19+00:00
39.960379,116.350208,2025-06-28 03:21:28.188000+00:00
39.96096335,116.34980776,2025-06-28 03:22:29+00:00
39.96093715,116.34996991,2025-06-28 03:22:59+00:00
39.96208517,116.35099494,2025-06-28 03:23:59+00:00
39.96328489,116.35085011,2025-06-28 03:24:29+00:00
39.96367074,116.35132075,2025-06-28 03:24:59+00:00
39.96376112,116.35383592,2025-06-28 03:25:29+00:00
39.96404021,116.35447695,2025-06-28 03:25:59+00:00
39.96403688,116.35455428,2025-06-28 03:28:09+00:00
39.96401494,116.35456324,2025-06-28 03:28:39+00:00
39.96402767,116.35458832,2025-06-28 03:29:09+00:00
39.96404112,116.35460688,2025-06-28 03:29:39+00:00
39.96403152,116.35464236,2025-06-28 03:30:09+00:00
39.96392972,116.35458778,2025-06-28 03:30:39+00:00
39.96255378,116.35476092,2025-06-28 03:31:09+00:00
39.96109346,116.35471174,2025-06-28 03:31:39+00:00
39.96101642,116.35306858,2025-06-28 03:32:09+00:00
39.96160737,116.3525545,2025-06-28 03:32:39+00:00
39.96173236,116.35285662,2025-06-28 03:33:09+00:00
39.96166784,116.35280152,2025-06-28 03:36:51+00:00
39.96247331,116.35205601,2025-06-28 03:38:21+00:00
39.96325905,116.35052784,2025-06-28 03:39:21+00:00
39.96321031,116.35044902,2025-06-28 03:39:51+00:00
39.96324325,116.35016227,2025-06-28 04:22:36+00:00
39.96321962,116.34988786,2025-06-28 05:08:37+00:00
39.96325801,116.34951242,2025-06-28 05:09:07+00:00
39.96325642,116.35000942,2025-06-28 05:47:11+00:00
39.96320224,116.35016693,2025-06-28 06:34:24+00:00
39.96320845,116.35052202,2025-06-28 06:34:54+00:00
39.96240295,116.3509519,2025-06-28 06:35:24+00:00
39.96103639,116.35106817,2025-06-28 06:35:54+00:00
39.96040676,116.35072688,2025-06-28 06:36:24+00:00
39.96040194,116.35041042,2025-06-28 06:36:54+00:00
39.96048238,116.35018802,2025-06-28 06:37:24+00:00
39.96052778,116.34990761,2025-06-28 06:39:36+00:00
39.96038832,116.34993514,2025-06-28 08:03:10+00:00
39.96038874,116.35034376,2025-06-28 09:23:52+00:00
39.96081282,116.35105241,2025-06-28 09:24:22+00:00
39.96095165,116.35212801,2025-06-28 09:24:52+00:00
39.96155122,116.35250788,2025-06-28 09:25:22+00:00
39.96176239,116.35279437,2025-06-28 09:25:52+00:00
39.96246516,116.35165902,2025-06-28 09:28:39+00:00
39.96318089,116.35090156,2025-06-28 09:29:09+00:00
39.9636274,116.35089843,2025-06-28 09:29:39+00:00
39.96363541,116.35184422,2025-06-28 09:30:09+00:00
39.96376194,116.35447929,2025-06-28 09:30:39+00:00
39.96402769,116.35460801,2025-06-28 09:31:50+00:00
39.963789,116.354433,2025-06-28 09:32:04.025000+00:00
39.96369314,116.35164426,2025-06-28 09:32:35+00:00
39.96361354,116.35083761,2025-06-28 09:33:05+00:00
39.96355441,116.35058758,2025-06-28 09:33:35+00:00
39.96309669,116.35008947,2025-06-28 09:34:05+00:00
39.96314828,116.35028332,2025-06-28 09:34:35+00:00
39.963162,116.350014,2025-06-28 09:35:58.966000+00:00
39.963215,116.350357,2025-06-28 09:38:35.666000+00:00
39.963219,116.350333,2025-06-28 09:39:07.488000+00:00
39.96321668,116.35007806,2025-06-28 10:31:53+00:00
39.96307423,116.35037975,2025-06-28 11:18:31+00:00
39.96239228,116.35117161,2025-06-28 11:19:01+00:00
39.96252388,116.35178196,2025-06-28 11:19:31+00:00
39.96255122,116.35179953,2025-06-28 11:20:01+00:00
39.96249151,116.35104745,2025-06-28 11:20:31+00:00
39.96095805,116.35100357,2025-06-28 11:21:01+00:00
39.96040603,116.35022256,2025-06-28 11:21:31+00:00
39.960391,116.350201,2025-06-28 11:22:01.420000+00:00
39.96041758,116.34991954,2025-06-28 11:43:35+00:00
39.96030393,116.35019486,2025-06-28 12:03:05+00:00
39.96219594,116.35104284,2025-06-28 12:04:05+00:00
