Latitude,Longitude,Time
39.960389,116.349996,2025-06-28 02:38:48.006000+00:00
39.9603893,116.34995701,2025-06-28 02:39:43+00:00
39.960389,116.349996,2025-06-28 02:39:44.999000+00:00
39.96038929,116.34995728,2025-06-28 02:39:46+00:00
39.960389,116.349996,2025-06-28 02:39:47.103000+00:00
39.96038929,116.34995765,2025-06-28 02:39:51+00:00
39.96038929,116.34995766,2025-06-28 02:39:54+00:00
39.96038929,116.34995767,2025-06-28 02:39:57+00:00
39.96038928,116.34995767,2025-06-28 02:39:59+00:00
39.960403,116.349996,2025-06-28 02:40:01.010000+00:00
39.96038951,116.34995801,2025-06-28 02:40:05+00:00
39.96038951,116.34995801,2025-06-28 02:40:08+00:00
39.96038951,116.34995801,2025-06-28 02:40:11+00:00
39.96038951,116.34995801,2025-06-28 02:40:11+00:00
39.960403,116.349996,2025-06-28 02:40:12.228000+00:00
39.96038973,116.34995835,2025-06-28 02:40:16+00:00
39.96038977,116.34995837,2025-06-28 02:40:19+00:00
39.96038978,116.34995836,2025-06-28 02:40:22+00:00
39.96038978,116.34995836,2025-06-28 02:40:25+00:00
39.96038981,116.34995836,2025-06-28 02:40:28+00:00
39.96038986,116.34995837,2025-06-28 02:40:31+00:00
39.96038987,116.34995836,2025-06-28 02:40:34+00:00
39.96038989,116.34995837,2025-06-28 02:40:37+00:00
39.96038989,116.34995837,2025-06-28 02:40:40+00:00
39.96038994,116.34995837,2025-06-28 02:40:43+00:00
39.96038998,116.34995838,2025-06-28 02:40:46+00:00
39.96038997,116.3499584,2025-06-28 02:40:49+00:00
39.96038999,116.34995842,2025-06-28 02:40:52+00:00
39.96039002,116.34995843,2025-06-28 02:40:55+00:00
39.96039005,116.34995842,2025-06-28 02:40:58+00:00
39.96039008,116.34995843,2025-06-28 02:41:01+00:00
39.9603901,116.34995842,2025-06-28 02:41:04+00:00
39.96039014,116.34995845,2025-06-28 02:41:07+00:00
39.96039014,116.34995846,2025-06-28 02:41:10+00:00
39.96039015,116.34995848,2025-06-28 02:41:13+00:00
39.96039011,116.34995851,2025-06-28 02:41:16+00:00
39.9603901,116.3499585,2025-06-28 02:41:19+00:00
39.96039011,116.34995848,2025-06-28 02:41:22+00:00
39.96039012,116.34995848,2025-06-28 02:41:25+00:00
39.96039011,116.34995845,2025-06-28 02:41:28+00:00
39.9603901,116.3499584,2025-06-28 02:41:31+00:00
39.96039012,116.34995839,2025-06-28 02:41:34+00:00
39.96039013,116.34995839,2025-06-28 02:41:37+00:00
39.96039016,116.34995837,2025-06-28 02:41:40+00:00
39.96039021,116.34995832,2025-06-28 02:41:43+00:00
39.96039024,116.34995827,2025-06-28 02:41:46+00:00
39.96039028,116.34995826,2025-06-28 02:41:49+00:00
39.9603903,116.34995825,2025-06-28 02:41:52+00:00
39.96039031,116.34995824,2025-06-28 02:41:55+00:00
39.96039035,116.34995825,2025-06-28 02:41:58+00:00
39.96039037,116.34995826,2025-06-28 02:42:01+00:00
39.96039039,116.34995822,2025-06-28 02:42:04+00:00
39.96039042,116.34995817,2025-06-28 02:42:07+00:00
39.96039043,116.34995816,2025-06-28 02:42:10+00:00
39.96039042,116.34995815,2025-06-28 02:42:13+00:00
39.96039043,116.34995812,2025-06-28 02:42:16+00:00
39.96039042,116.3499581,2025-06-28 02:42:19+00:00
39.96039043,116.34995807,2025-06-28 02:42:22+00:00
39.96039044,116.34995806,2025-06-28 02:42:25+00:00
39.96039037,116.34995805,2025-06-28 02:42:28+00:00
39.96039037,116.34995791,2025-06-28 02:42:31+00:00
39.96039038,116.34995788,2025-06-28 02:42:34+00:00
39.96039037,116.34995783,2025-06-28 02:42:37+00:00
39.96039037,116.34995781,2025-06-28 02:42:40+00:00
39.96039031,116.34995782,2025-06-28 02:42:43+00:00
39.96039026,116.34995781,2025-06-28 02:42:46+00:00
39.96039013,116.34995775,2025-06-28 02:42:49+00:00
39.96039008,116.34995775,2025-06-28 02:42:52+00:00
39.96039006,116.34995777,2025-06-28 02:42:55+00:00
39.96039003,116.34995778,2025-06-28 02:42:58+00:00
39.96039014,116.34995779,2025-06-28 02:43:01+00:00
39.96039013,116.34995778,2025-06-28 02:43:04+00:00
39.96039013,116.3499578,2025-06-28 02:43:07+00:00
39.96039011,116.34995785,2025-06-28 02:43:10+00:00
39.96039001,116.34995779,2025-06-28 02:43:13+00:00
